Feature,Spearman,Pearson,MI_Score,RF_Importance,RFE_Ranking,RFE_Score,Average_Score
Motion/Activity index,1.0,1.0,0.9999999999999999,0.9999999999999999,1,0.9090909090909091,0.9818181818181818
EtCO2,0.6038213371041348,0.5643417740546927,0.4991729654036732,0.4712539140452383,1,0.9090909090909091,0.6095361799397295
PVI,0.45465081393503376,0.4338076596351986,0.20784699526718084,0.2687607468617393,1,0.9090909090909091,0.4548314249580123
RR,0.14516270832238656,0.1298150527753502,0.13430686061790909,0.15805734140888367,1,0.9090909090909091,0.2952865744430877
FiO2,0.16325629582215406,0.1627869258895745,0.01962151694736651,0.10343002573836016,1,0.9090909090909091,0.27163713469767287
SNR,0.0179964235986418,0.017493046659559086,0.013239763740922436,0.030147115495344406,1,0.9090909090909091,0.19759345171707537
PRV,0.032767270804446726,0.03421518270329646,0.01649107356029432,0.06980592512957204,2,0.8181818181818181,0.19429225407588552
CO,0.0015662106635489256,0.0,0.03366293361398712,0.02281253651554932,1,0.9090909090909091,0.19342651797679888
code,0.0033417890203558216,0.015848832513536925,0.013703309472940756,0.020378838917848936,1,0.9090909090909091,0.1924727358031183
SV,0.010983527287168605,0.013429303867014717,0.0,0.027885406808936107,1,0.9090909090909091,0.19227782941080568
SpO2,0.0,0.0011027811416569142,0.021180144399185082,0.029030011625537026,1,0.9090909090909091,0.19208076925145762
location,0.0006591655301274262,0.011003143273292545,0.01648841989401977,0.020551899254033487,1,0.9090909090909091,0.19155870740847644
Hb level,0.0026226941153860333,0.005413268940348983,0.009633377463388883,0.02912519374538171,1,0.9090909090909091,0.19117708867108293
O2 extraction ratio,0.007405997449479746,0.006991542146585448,0.0,0.030105965513277294,1,0.9090909090909091,0.1907188828400503
Skin Temperature,0.002308667079564279,0.00026415009821974993,0.009485337957833746,0.03126950652223528,1,0.9090909090909091,0.19048371414975243
QoS,0.014518758096371962,0.01243030800351275,0.0,0.0,1,0.9090909090909091,0.18720799503815874
latitude,0.016031721243649648,0.015130557371735338,0.0013180296990797009,0.028176201509023745,3,0.7272727272727273,0.15758584741924314
Signal Quality Index,0.02612366447246739,0.02365881550020295,0.0,0.030563758789973472,4,0.6363636363636364,0.14334197502525603
PI,0.010135427412674957,0.009287722407393477,0.015435886565112855,0.027912877704246906,5,0.5454545454545454,0.12164529190879472
Blood Flow Index,0.006670471163386095,0.0061814267766972415,0.030751572113388123,0.02864593760716419,6,0.4545454545454546,0.10535897244121806
Respiratory effort,0.003911452866542779,0.004352805595625266,0.0,0.028563651002148208,7,0.36363636363636365,0.08009285462013598
HR,0.002692698475587206,0.003799984061798006,0.0,0.02494181439184165,8,0.2727272727272727,0.06083235393129991
longitude,0.015296467489774347,0.012711698658413529,0.01574134207742181,0.027516659414451854,9,0.18181818181818177,0.050616869891648666
BP,0.02335223235484339,0.02544439312543796,0.0,0.03200487649977054,10,0.09090909090909094,0.03434211857782857
PPG waveform features,0.007244563082683059,0.0058237049551659505,0.005097485211723163,0.03015041467304798,11,0.0,0.00966323358452403
