Motion/Activity index,EtCO2,PVI,RR,FiO2,SNR,PRV,oximetry
-3.643682490522625,-24.055494588991266,-10.031312794714822,-11.878489314372885,-6.559394982294984,-5.051292132108972,-4.856732385620321,0.0
-3.0836261870063315,-22.956549955106535,-8.581836259218221,-11.829475018289562,-6.447387220911304,-5.018175575241598,-4.885399551223333,1.0
-3.4818947957811797,-22.97335738751263,-9.554420110786817,-12.279816535749921,-6.186421081671232,-5.13107898592796,-5.0031320788781235,
-3.7279834347643743,-23.18340531971505,-9.74271310393818,-12.220806588434181,-6.385317339830372,-5.184291460647901,-4.966349961658222,0.0
-3.530215992487677,-23.02904495297346,-9.353986195617104,-13.045783979149453,-6.230010327408574,-5.308890240638167,-4.909089159036777,
-3.707346831970539,-23.454728107618735,-10.080719471120142,-12.12354865633574,-6.305222404812997,-5.494407012236173,-4.980711894284414,
-2.9387884642447455,-22.57562457667253,-8.755808511914873,-11.337200009236467,-6.261527841579438,-5.368869424319889,-4.976371359240097,0.0
-3.103165742001398,-22.85962624461217,-8.53265245253428,-11.23161409916305,-6.195233460706587,-5.301316385441526,-4.945375063084762,
-3.3779243757202573,-22.742167869304946,-9.36638821002292,-12.454032227602218,-6.538889469582739,-5.306410828271415,-4.911049689208888,1.0
-3.299312064525831,-23.045960417317673,-10.777312582563704,-12.953404338364734,-6.541278568540934,-5.254052922482058,-4.898338307040343,0.0
-3.362467657099824,-22.968592550344944,-8.554445476500158,-11.332156636832094,-6.255719593424537,-5.0319843262352215,-4.862752987990703,1.0
-3.6599708989620545,-23.374309477611394,-9.453215609005044,-11.951912784243303,-6.280180057562549,-4.93956157100443,-4.9809086306321415,1.0
-3.3174002648197254,-22.719009107091505,-9.349303181101208,-13.315937450139954,-6.386653939132182,-5.061638735282152,-4.948301404513752,0.0
-3.2679035916116304,-22.291847355277664,-9.110663044670796,-11.743168607761591,-6.386875530197527,-5.181650048498574,-4.952748887736764,
-2.970938072838274,-23.523810705577436,-11.051470810023956,-13.020981809786212,-6.403432135497537,-5.444114575204022,-4.9666325559102225,1.0
-3.1143848331449484,-22.852961739550302,-9.551650504801735,-11.66182726968306,-6.377562237379891,-4.933873296010634,-4.964427685107667,0.0
-3.8255872275337106,-24.27571205457245,-8.514647598427372,-11.192336851853328,-6.302632326694783,-5.243051249629321,-4.982611661940777,0.0
-3.1307434640988627,-24.091056595286094,-9.029219229424228,-11.01691284161547,-6.450228621437552,-5.374361289608271,-4.931304943238321,
-3.4019299352024666,-23.2612826445972,-10.09804175736709,-12.433388049118907,-6.434273209686602,-5.480850040552083,-4.941899387522337,0.0
-3.1008278684997808,-22.90315897472035,-9.120594169034325,-13.073999638264228,-6.3866392528148594,-5.013838509163381,-4.928471011428745,0.0
-3.6001022435217727,-23.277054031800567,-9.500458958665766,-12.208417624256121,-6.348460377703403,-5.292404536891525,-4.934082231028712,
-3.0816673822030554,-23.187618513959464,-9.744709102200444,-12.310234044902444,-6.524813706052063,-5.207195176353453,-4.98094885424252,1.0
-3.41188865249641,-23.695032530464378,-10.719970365581954,-11.753539612141154,-6.420285978162689,-5.022645251044378,-4.963474293513948,
-3.2803156247183964,-22.789192667122204,-8.905105646669229,-12.81565762741806,-6.349900679521051,-5.273460357655509,-4.916813384356017,1.0
-3.2989964701978107,-23.196373501996923,-11.534537957052535,-12.981729628966834,-6.400872966342658,-4.922729292267584,-4.866134699798937,
-2.947385838437941,-22.017742971193023,-8.718579868045646,-11.563598740629738,-6.265411189259679,-5.071431386287917,-5.020904515961105,0.0
-3.187911981243164,-23.240982887962765,-10.534589932757203,-12.860318445091549,-6.428002072636473,-5.097615420300997,-4.948193809401462,
-3.200137009035823,-23.925696341385667,-8.543532386237999,-11.237462630666663,-6.542779213681046,-5.0483757737150805,-4.8684148233930715,
-3.7420952636249383,-23.53569209061289,-9.771048080069688,-11.844197152611345,-6.1437173739643605,-4.850474943416275,-4.9398150219312456,1.0
-3.629417604325258,-23.371996958814023,-9.903658570467716,-12.880734276744432,-6.260788548684587,-5.20668455977833,-4.9046875080253525,1.0
-3.4691597861896253,-22.13437230092031,-9.225605101364843,-12.92047854757255,-6.31397754016123,-5.224005644520753,-4.9465436423729425,1.0
